Loss,N,auc,model
1.5219954540474208,50,0.4726365986129295,DenseNet121
0.3190518128604877,100,0.4710101630155405,DenseNet121
0.23967844801939645,5000,0.6257613327465986,DenseNet121
0.2349853109560207,10000,0.6567461300437956,DenseNet121
0.22771910509163876,20000,0.6978378053563051,DenseNet121
0.21719670063528712,35000,0.7547197820117159,DenseNet121
0.22120922172765475,50000,0.7327010069959456,DenseNet121
0.22009012645267964,60000,0.7408284458145289,DenseNet121
0.21828546659839893,77880,0.7534077493438704,DenseNet121
,50,0.4934000021358585,ridge
,100,0.4990869873831523,ridge
,5000,0.5012938777034128,ridge
,10000,0.4996935056326203,ridge
,20000,0.5038613323978709,ridge
,35000,0.502241597546121,ridge
,50000,0.501390434782807,ridge
,60000,0.49975173715295584,ridge
,77880,0.5051109133780707,ridge
