x,mean,lower,upper,model
50,0.5217989936445254,0.5627937897026677,0.48080419758638315,Densnet121
100,0.5223912920691454,0.5655608353388059,0.4792217487994848,Densnet121
200,0.5199484964748623,0.5653491050064,0.4745478879433246,Densnet121
400,0.5215412904621641,0.5642255164115509,0.4788570645127774,Densnet121
600,0.5232823509262076,0.5663573874048163,0.4802073144475988,Densnet121
800,0.5203238249101271,0.5668700501299487,0.4737775996903054,Densnet121
1000,0.5223120911862364,0.5655113121917805,0.47911287018069243,Densnet121
1200,0.5187462558245756,0.569301852528536,0.4681906591206151,Densnet121
1400,0.5173351328286035,0.5630330890762263,0.47163717658098075,Densnet121
1600,0.5215062757963485,0.5640554945889644,0.47895705700373253,Densnet121
1800,0.5205197389327147,0.5650965499442785,0.475942927921151,Densnet121
2000,0.5182353360805105,0.5688912211229797,0.4675794510380413,Densnet121
50,0.5035943609897902,0.5129805311698739,0.49420819080970646,Ridge
100,0.502837865000224,0.5107672709520018,0.4949084590484461,Ridge
200,0.5045249294612233,0.5110047524527331,0.4980451064697135,Ridge
400,0.5037475551154524,0.5118443131874671,0.4956507970434377,Ridge
600,0.5018395160780458,0.51105750815385,0.49262152400224163,Ridge
800,0.5030898890406695,0.5086960559727832,0.49748372210855585,Ridge
1000,0.5023833366687853,0.5102921694002664,0.49447450393730424,Ridge
1200,0.5025910546633888,0.5109034680403861,0.4942786412863916,Ridge
1400,0.503363330973981,0.51430019870119,0.492426463246772,Ridge
1600,0.5035218951322178,0.5089617890429284,0.49808200122150714,Ridge
1800,0.5032440190775372,0.5126837946050574,0.49380424355001706,Ridge
2000,0.5018466908921839,0.5084379969891364,0.4952553847952315,Ridge
