x,mean,lower,upper,model
50,0.5307936368801234,0.5975613049753532,0.46402596878489355,Densnet121
100,0.5416233422611801,0.5917700810914849,0.49147660343087546,Densnet121
200,0.5491657333008685,0.5931052943037274,0.5052261722980096,Densnet121
400,0.5578754321889456,0.5950781624847096,0.5206727018931817,Densnet121
600,0.56296923950978,0.6009634326517509,0.524975046367809,Densnet121
800,0.5638322863403945,0.5985515785245298,0.5291129941562592,Densnet121
1000,0.5680720396071748,0.6095760707997314,0.5265680084146181,Densnet121
1200,0.5711003976949923,0.6114533027108082,0.5307474926791764,Densnet121
1400,0.5718556610664719,0.6098604378882277,0.533850884244716,Densnet121
1558,0.5717602142683224,0.6111227899953601,0.5323976385412846,Densnet121
50,0.5514440433212997,0.5977419757463407,0.5051461108962587,Ridge
100,0.5547111913357401,0.6039496306061334,0.5054727520653468,Ridge
200,0.5570036101083032,0.6055907456215996,0.5084164745950068,Ridge
400,0.5635379061371841,0.6010397111913357,0.5260361010830326,Ridge
600,0.5651083032490976,0.6092294255784084,0.5209871809197867,Ridge
800,0.567274368231047,0.6090751596874031,0.525473576774691,Ridge
1000,0.5709386281588448,0.6163797237603656,0.5254975325573239,Ridge
1200,0.5734296028880866,0.6114316556898929,0.5354275500862804,Ridge
1400,0.5740072202166066,0.6093650477795698,0.5386493926536433,Ridge
1558,0.5750361010830326,0.6123547393228944,0.5377174628431708,Ridge
